,id,rank,legalStatus,type,title,summary,applicant,applicationDate,mainIpc,applicationNumber,documentNumber,documentDate,inventor,applicantType,ipc,cpc,imagePath
10,US2021191589A1,0,公开,发明申请,CAPTURING AND SENDING MULTIMEDIA AS ELECTRONIC MESSAGES,"One or more embodiments described herein include methods and systems of capturing and sending multimedia content items as electronic message. More specifically, systems and methods described herein provide users the ability to easily and effectively capture multimedia content items for inclusion in a communication session without navigating away from the communication session. Additionally, systems and methods described herein allow a multimedia content item to be sent to one or more co-users immediately following the capture of the multimedia content item without further user interaction. In other words, the system and methods can capture and automatically send a multimedia content item in response to a single user interaction.","Facebook, Inc.",2021-03-10,G06F3/0488,US17197615,US20210191589A1,2021-06-24,Benjamin S. Langholz; Lucy Congyun Zhang,企业,G06F3/0488; G06F3/0484; G06F3/16; G06F3/0481; H04L12/58; H04N5/232; G06F3/0482; H04N7/14; G06T11/00,,/docs/US/2021-06-24/US20210191589A1/abs.jpg.150x150.jpg
11,US2021191584A1,0,公开,发明申请,DISPLAYING A SCROLLABLE LIST OF AFFORDANCES ASSOCIATED WITH PHYSICAL ACTIVITIES,"The present disclosure generally relates to managing user interfaces associated with physical activities. The user interface displays a scrollable list of affordances associated with physical activities. The affordances may contain physical activity and heart rate information. A user can launch a physical activity tracking function or an interface to change a workout metric using an affordance. Users can also control the music that is played in response to selecting a workout. Further, the interface can be used to compose a reply message to a received message that contains workout information. The interfaces can show a graph that includes heart data when the user's heart rate meets a heart rate alert criteria.",Apple Inc.,2021-03-10,G06F3/0482,US17197628,US20210191584A1,2021-06-24,Aled Hywel WILLIAMS; Gary Ian BUTCHER; Stephen O. LEMAY; Christopher D. SOLI; Molly Pray WIEBE,企业,G06F3/0482; A63B24/00; G06F3/0481; G06F3/0484; H04W4/02; A61B5/00; G06F3/0488; G06F3/0485; A61B5/11; A61B5/0205,,/docs/US/2021-06-24/US20210191584A1/abs.jpg.150x150.jpg
12,US2021191558A1,0,公开,发明申请,METHOD FOR DISPLAYING CONTENT IN EXPANDABLE SCREEN AREA AND ELECTRONIC DEVICE SUPPORTING THE SAME,"Disclosed is an electronic device including a first plate, a second plate disposed under the first plate, a flexible display including a screen area configured to expand based on a movement of the first plate from a closed state to an open state with respect to the second plate, at least one display driver integrated circuit, and a processor electrically connected to the flexible display and the at least one display driver integrated circuit, and the at least one display driver integrated circuit being configured to display, in a first state where the processor is in an inactive state and the screen area of the flexible display is not expanded, at least one first object in a first area of the screen area, and display, in a second state where the processor is in the inactive state and the screen area of the flexible display is expanded, at least one second object associated with the at least one first object, in a second area of the screen area of the expanded flexible display.","Samsung Electronics Co, Ltd.",2021-03-10,G06F3/041,US17197972,US20210191558A1,2021-06-24,Hanchul JUNG; Jungchul An; Sungho Lee; Youngin Choi; Jungyeob Oh; Bonghak Choi; Donghyun Yeom; Minwoo Yoo,企业,G06F3/041; G09G5/00; G06F3/0481; G06F1/16,,/docs/US/2021-06-24/US20210191558A1/abs.jpg.150x150.jpg
13,US2021191142A1,0,公开,发明申请,Electronic Devices With Optical Markers,"An electronic device may be provided with optical markers. A marker may be formed from a coating. The coating may be patterned to form a two-dimensional optical code or may be patterned to form an outline or other recognizable marker structure that helps provide information about an electronic device. A device with a sensor such as a depth sensor or other sensor may gather information on the electronic device and its markers. This information may include information on images captured with an image sensor while the electronic device is illuminated by one or more light beams from the depth sensor or other light sources. Markers may be configured to serve as mixed reality optical markers in a mixed reality system. Analysis of the mixed reality marker images or other sensor data may reveal information on device type, device location, device size, device orientation, and other information on a marked device.",Apple Inc.,2021-03-10,G02B27/34,US17198044,US20210191142A1,2021-06-24,Christopher D. Prest; Marta M. Giachino; Matthew S. Rogers; Que Anh S. Nguyen,企业,G02B27/34; G06F3/01; G06T19/00; G02B5/20; G02B5/28; G02B5/124; H04M1/02; G06T7/73,,/docs/US/2021-06-24/US20210191142A1/abs.jpg.150x150.jpg
14,US2021190817A1,0,公开,发明申请,"Inertia Measurement Device, Vehicle, And Electronic Device","An inertia measurement device, which is used in combination with a satellite positioning receiver that outputs a positioning result at every T seconds in a positioning system equipped on a vehicle, when a Z-axis angular velocity sensor, a position error P[m] based on the detection signal of the Z-axis angular velocity sensor while the vehicle moves at a moving speed V[m/sec] for T seconds satisfies Pp≥P=(V/Bz)×(1−cos(Bz×T)) (where, a bias error of the Z-axis angular velocity sensor is Bz[deg/sec] and a predetermined allowable maximum position error during movement for T seconds is Pp[m]), and a bias error Bx and By of the Y-axis angular velocity sensor satisfies Bz<Bx and Bz<By.",Seiko Epson Corporation,2021-03-10,G01P15/18,US17197121,US20210190817A1,2021-06-24,Yusuke KINOSHITA; Nobuyuki IMAI,企业,G01P15/18; G01C21/16; G01C21/18; G01S19/47,,/docs/US/2021-06-24/US20210190817A1/abs.jpg.150x150.jpg
15,US2021188191A1,0,公开,发明申请,VEHICULAR VISION SYSTEM WITH FORWARD VIEWING CAMERA MODULE,"A vehicular vision system includes a camera module having a housing that houses at least (i) electronic circuitry disposed at a main printed circuit board (PCB) and (ii) an imager assembly. The imager assembly includes an imager, an imager PCB and a lens holder that includes an elongated lens barrel that houses at least one lens. Electronic circuitry is disposed at an upper side and at a lower side of the main PCB and includes an image processing chip. Image data captured by the imager is conveyed via a flexible cable to electronic circuitry disposed at the main PCB. An electronic component of electronic circuitry disposed at the main PCB is in thermal conductivity with a thermal element, which is in thermal conductivity with a lower housing portion of the housing to enhance heat transfer from the electronic component to the lower housing portion.",MAGNA ELECTRONICS INC.,2021-03-10,B60R11/04,US17249703,US20210188191A1,2021-06-24,Garret F. Achenbach; Brian A. Gorman; Brian F. Smith; Steven G. Gebauer,企业,B60R11/04; H05K7/20; B60R1/00; H04N7/18; H04N5/225,,/docs/US/2021-06-24/US20210188191A1/abs.jpg.150x150.jpg
16,US2021188168A1,0,公开,发明申请,METHOD FOR CALIBRATING A VEHICULAR VISION SYSTEM,"A method for calibrating a vehicular vision system includes disposing a camera at a vehicle, disposing a processor at the vehicle, and disposing a video display screen in the vehicle so as to be viewable by the vehicle driver. The video display screen is operable to display video images derived from image data captured by the imager of the camera. Image data is captured by the imager of the camera and provided to the processor. The video display screen displays video images derived from image data captured by the imager of the camera. The processor generates a graphic overlay for display with the video images at the video display screen. Responsive to processing captured image data, the vehicular vision system is calibrated by adapting an orientation and position of the image data relative to the generated graphic overlay to a corrected orientation and position relative to the generated graphic overlay.",MAGNA ELECTRONICS INC.,2021-03-10,B60R1/00,US17249688,US20210188168A1,2021-06-24,Benjamin May,企业,B60R1/00; H04N5/225; H04N5/262,,/docs/US/2021-06-24/US20210188168A1/abs.jpg.150x150.jpg
17,US2021187200A1,0,公开,发明申请,ELECTRONIC ADD-ON MODULE FOR INJECTION DEVICES,"Implementations relate to an electronic add-on module releasably attachable to an injection device prior to injection, a sensor element for detecting a state or process in the injection device, a processor element for evaluating and/or processing a signal of the sensor element, and an energy store for supplying the processor element with energy. The add-on module has a first module part, which is connectable along its longitudinal axis to the injection device in an axially fixed manner by means of a holding mechanism. A second module part is movable for a damped relative movement, such as a deceleration or braking movement, by a delay stoke with respect to the first module part connected to the injection device. By damping a relative movement between two module parts, the force transmission between the add-on module and the injection device is controlled and a maximum force surge is limited to the injection device.",Ypsomed AG,2021-03-10,A61M5/315,US17198012,US20210187200A1,2021-06-24,Leos Urbanek; Gabriel Kalbermatter,企业,A61M5/315,,/docs/US/2021-06-24/US20210187200A1/abs.jpg.150x150.jpg
18,US2021195482A1,0,公开,发明申请,MULTI-CELL NOTIFICATION ZONE SINGLE FREQUENCY NETWORK PAGING AND MOBILITY,"Methods, systems, and devices for wireless communications are described. A user equipment (UE) may operate in a radio resource control (RRC) inactive state of a discontinuous reception (DRX) mode. The UE may receive one or more synchronization signal blocks (SSBs) over a serving single frequency network (SFN) for a first notification zone, wherein the first notification zone comprises a plurality of cells. The UE may perform a channel measurement procedure using the received one or more SSBs. The UE may determine, based at least in part on a result of the channel measurement procedure, that a channel performance metric for the serving SFN of the first notification zone fails to satisfy a threshold. The UE may perform a cell reselection procedure to identify a cell of a neighboring SFN for a second notification zone that has a channel performance metric satisfying the threshold.",QUALCOMM Incorporated,2021-03-09,H04W36/00,US17196575,US20210195482A1,2021-06-24,Hung Dinh LY; Heechoon Lee; Tingfang Ji,企业,H04W36/00; H04W36/30; H04W76/27; H04L5/00; H04W68/02; H04W76/28,,/docs/US/2021-06-24/US20210195482A1/abs.jpg.150x150.jpg
19,US2021195203A1,0,公开,发明申请,Method and Apparatus of Matrix-Based Intra Prediction for Video Coding,"Method and apparatus of video coding are disclosed. According to one method, the left reference boundary samples and the top reference boundary samples are checked jointly. According to another method, selected original left reference boundary samples and selected original top reference boundary samples at specific positions are used for predictor up-sampling. According to yet another method, the horizontal interpolation and the vertical interpolation are in a fixed order regardless of a shape of the current block, size of the current block or both.",MEDIATEK INC.,2021-03-09,H04N19/132,US17249667,US20210195203A1,2021-06-24,Zhi-Yi LIN; Tzu-Der CHUANG; Ching-Yeh CHEN; Chih-Wei HSU,企业,H04N19/132; H04N19/105; G06F17/16; H04N19/176; H04N19/159,,/docs/US/2021-06-24/US20210195203A1/abs.jpg.150x150.jpg
20,US2021195202A1,0,公开,发明申请,Method and Apparatus of Matrix-Based Intra Prediction for Video Coding,"Method and apparatus of video coding are disclosed. According to one method, the left reference boundary samples and the top reference boundary samples are checked jointly. According to another method, selected original left reference boundary samples and selected original top reference boundary samples at specific positions are used for predictor up-sampling. According to yet another method, the horizontal interpolation and the vertical interpolation are in a fixed order regardless of a shape of the current block, size of the current block or both.",MEDIATEK INC.,2021-03-09,H04N19/132,US17249665,US20210195202A1,2021-06-24,Zhi-Yi LIN; Tzu-Der CHUANG; Ching-Yeh CHEN; Chih-Wei HSU,企业,H04N19/132; H04N19/105; G06F17/16; H04N19/176; H04N19/159,,/docs/US/2021-06-24/US20210195202A1/abs.jpg.150x150.jpg
21,US2021195074A1,0,公开,发明申请,Camera Module and Manufacturing Method Thereof,"A camera module includes an optical assembly, a filter and a molded photosensitive assembly mounted under the optical assembly and the filter, wherein the molded photosensitive assembly comprises a main body, a plurality of electronic components, a photosensitive chip, and a circuit board electrically connected with the electronic components and the photosensitive chip, wherein the electronic components, the photosensitive chip and the circuit board are positionally fixed with each other by the main body, wherein the photosensitive chip is fixed and surrounded by the bottom of the main body to keep distance with the filter, wherein the main body comprises a container body supporting the optical assembly thereon and a lower body supporting the filter thereon, wherein the lower body is extended from the inner side of the container body.","NINGBO SUNNY OPOTECH CO., LTD.",2021-03-09,H04N5/225,US17195816,US20210195074A1,2021-06-24,Zhen HUANG; Qimin MEI; Bojie ZHAO; Zhewen MEI; Li LIU; Jiawei CHEN; Zongchun YANG; Chenxiang XU,企业,H04N5/225,,/docs/US/2021-06-24/US20210195074A1/abs.jpg.150x150.jpg
22,US2021194091A1,0,公开,发明申请,"SEPARATORS, BATTERIES, SYSTEMS, VEHICLES, AND RELATED METHODS","Improved battery separators, base films or membranes, batteries, cells, devices, systems, vehicles, and/or methods of making and/or using such separators, films or membranes, batteries, cells, devices, systems, vehicles, and/or methods of enhancing battery or cell charge rates, charge capacity, and/or discharge rates, and/or methods of improving batteries, systems including such batteries, vehicles including such batteries and/or systems, and/or the like; biaxially oriented porous membranes, composites including biaxially oriented porous membranes, biaxially oriented microporous membranes, biaxially oriented macroporous membranes, battery separators with improved charge capacities and the related methods and methods of manufacture, methods of use, and the like; flat sheet membranes, liquid retention media; dry process separators; biaxially stretched separators; dry process biaxially stretched separators having a thickness range between about 5 μm and 50 μm, preferably between about 10 μm and 25 μm, having improved strength, high porosity, and unexpectedly and/or surprisingly high charge capacity, such as, for example, high 10 C rate charge capacity; separators or membranes with high charge capacity and high porosity, excellent charge rate and/or charge capacity performance in a rechargeable and/or secondary lithium battery, such as a lithium ion battery, for high power and/or high energy applications, cells, devices, systems, and/or vehicles, and/or the like; single or multiple ply or layer separators, monolayer separators, trilayer separators, composite separators, laminated separators, co-extruded separators, coated separators, 1 C or higher separators, at least 1 C separators, batteries, cells, systems, devices, vehicles, and/or the like; improved microporous battery separators for secondary lithium batteries, improved microporous battery separators with enhanced or high charge (C) rates, discharge (C) rates, and/or enhanced or high charge capacities in or for secondary lithium batteries, and/or related methods of manufacture, use, and/or the like, and/or combinations thereof are disclosed or provided.","Celgard, LLC",2021-03-09,H01M50/411,US17195645,US20210194091A1,2021-06-24,Xiaomin Zhang; Gerald P. Rumierz; Karl F. Humiston; Charles E. Haire; Tyrone S. Fields; Michael A. Braswell; Ronald A. Proctor; Ronnie E. Smith,企业,H01M50/411; B29C48/00; B29C48/21; B29C48/92; B29C48/08; B29C48/10; B29C48/18; B29C55/00; H01M50/449; H01M50/463; B29C65/00,,/docs/US/2021-06-24/US20210194091A1/abs.jpg.150x150.jpg
23,US2021193903A1,0,公开,发明申请,"FINGERPRINT IDENTIFICATION MODULE, METHOD FOR FORMING FINGERPRINT IDENTIFICATION MODULE, AND ELECTRONIC DEVICE","Fingerprint identification modules, methods for forming the fingerprint identification modules and electronic devices are provided. The method may include providing a substrate, containing a signal process circuit formed therein; providing a carrier substrate; forming one or more piezoelectric transducers on the carrier substrate, wherein a piezoelectric transducer of the one or more piezoelectric transducers includes a first electrode, a piezoelectric layer on the first electrode and a second electrode on the piezoelectric layer; forming a permanent bonding layer, containing one or more cavities, on one of the carrier substrate and the substrate; bonding the carrier substrate with the substrate using the permanent bonding layer, wherein the permanent bonding layer is between the one or more piezoelectric transducers and the substrate, and each piezoelectric transducer covers one cavity; and removing the carrier substrate.",Ningbo Semiconductor International Corporation,2021-03-09,H01L41/113,US17196153,US20210193903A1,2021-06-24,Hu SHI; Mengbin LIU; Yanghui XIANG,企业,H01L41/113; H01L41/047; H01L41/312; H01L41/27; H01L41/08; G06K9/00,,/docs/US/2021-06-24/US20210193903A1/abs.jpg.150x150.jpg
24,US2021192648A1,0,公开,发明申请,DETERMINING USER INTERFACE INFORMATION BASED ON LOCATION INFORMATION,"In some examples, a computing device may receive, from a plurality of merchant devices associated with a plurality of merchants, respectively, electronic communications indicating pickup locations associated with the respective merchants. The computing device may access map information to determine a group of the respective pickup locations within a threshold distance of each other, the group of respective pickup locations corresponding to a group of the merchants. The computing device may send, to a buyer device, based at least on the pickup locations determined to be within the threshold distance of each other, merchant information that causes, at least in part, an application on the buyer device to present a user interface including information about the group of merchants, the information about the group of merchants including an indication that items ordered from the merchants in the group of merchants are available for combined delivery.","DOORDASH, INC.",2021-03-09,G06Q50/12,US17196032,US20210192648A1,2021-06-24,Benjamin R. BERNSTEIN; Jeffrey Frank IACONO; Jesse Lee REISS,企业,G06Q50/12; G06Q30/06; G01S19/12; G06Q10/08,,/docs/US/2021-06-24/US20210192648A1/abs.jpg.150x150.jpg
25,US2021192547A1,0,公开,发明申请,POP-UP SHOP PLANNING SYSTEM,"A mobile system by which pop-up commercial real estate and social commerce sales are generated worldwide to social media market surveys, hashtags, demographics, as well as other relevant search criteria. We are currently entering into what many would call a “retail apocalypse” which characterizes the sharp rise in brick & mortar retail business closing stores worldwide due to the booming e-commerce market. As a result, the job market has seen a plummet in retail positions; this system is not only designed to provide stability within the retail job market but is also designed to change the retail job description from just the typical sales agent to event planners and managers. This system is designed to be compatible with current social media platforms and media viewers via open source and API, in order to stimulate the marketing aspect of this system. There are five possible titles by which a user of this system can be defined as, a sponsor, retailer, event builder, pop up realtor, and the consumer. Type of account the user holds will be indicated on their social media pages via open source.",Alexandra Valentina Henderson,2021-03-09,G06Q30/02,US17249679,US20210192547A1,2021-06-24,Alexandra Valentina Henderson,其他,G06Q30/02; G06F16/29; G06Q50/00,,/docs/US/2021-06-24/US20210192547A1/abs.jpg.150x150.jpg
26,US2021192487A1,0,公开,发明申请,Secure Electronic Payment System,"A novel method of allowing secure payments from a purchaser to a seller through the utilization of a combined server platform/vault server system. Such a system entails the generation of a subscription service that allows for authentication of a consumer's credit card in terms of pre-approved identification for future transactions. Such a system initiates a tokenization procedure through transfer of credit card information to the server platform through the vault program and to issuing banks/card providers. Upon acceptance thereof, the vault server generates a token that correlates to a specific credit card of a specific user that is then stored on the server platform. Upon request from a subscribing merchant for acceptance of a tokenized card for payments, the user merely needs to provide an identifying code to access the card for such a purpose.",PAAY LLC,2021-03-09,G06Q20/24,US17196251,US20210192487A1,2021-06-24,Aaron Mendlowitz; James Ruffer,企业,G06Q20/24; G06Q20/38; G06Q20/40,,/docs/US/2021-06-24/US20210192487A1/abs.jpg.150x150.jpg
27,US2021192438A1,0,公开,发明申请,POWER TOOL COMMUNICATION SYSTEM,"A mobile device and method for determining power tool attendance. The mobile device and method are able to generate a list of power tools that are missing based on being outside of communication range with the mobile device. For example, the mobile device includes a short-range transceiver, a memory, and a processor coupled to the memory and the short-range transceiver. The processor is configured to receive a list of a first plurality of power tools and receive, via a user interface, a selection to detect nearby tools. The processor is also configured to receive, via the short-range transceiver, identification signals from a second plurality of power tools and determine that a subset of the first plurality of power tools is missing based on the identification signals. The processor is further configured to generate an indication that the subset of the first plurality of power tools is missing.",Milwaukee Electric Tool Corporation,2021-03-09,G06Q10/08,US17196188,US20210192438A1,2021-06-24,Stephen Matson; Christian Coulis,企业,G06Q10/08; G06F3/0484; G06F3/0482,,/docs/US/2021-06-24/US20210192438A1/abs.jpg.150x150.jpg
28,US2021192082A1,0,公开,发明申请,"DATA PROCESSING SYSTEMS FOR VALIDATING AUTHORIZATION FOR PERSONAL DATA COLLECTION, STORAGE, AND PROCESSING","In particular embodiments, a data processing consent management system may be configured to utilize one or more age verification techniques to at least partially authenticate the data subject's ability to provide valid consent (e.g., under one or more prevailing legal requirements) in order to collect, store, and or process the subject's personal data. For example, according to one or more particular legal or industry requirements, an individual (e.g., data subject) may need to be at least a particular age (e.g., an age of majority, an adult, over 18, over 21, over 13, or any other suitable age) in order to provide valid consent. Data processing systems may generate and store one or more consent records memorializing valid consent for data processing from data subjects in response to confirming that the data subject is old enough to provide such consent.","OneTrust, LLC",2021-03-09,G06F21/62,US17196570,US20210192082A1,2021-06-24,Kevin Jones; Jonathan Blake Brannon,企业,G06F21/62; G06F21/60,,/docs/US/2021-06-24/US20210192082A1/abs.jpg.150x150.jpg
29,US2021191542A1,0,公开,发明申请,DISPLAY HAVING OPAQUE MEMBER DISPOSED IN AREA SURROUNDED BY PIXELS AND ELECTRONIC APPARATUS HAVING THE SAME,"An electronic device according to certain embodiments may include: a sensor, a display panel including a sensor area overlaying or underlying the sensor and a pixel area including at least one pixel and a drive wiring line configured to drive the at least one pixel while surrounding the sensor area, a window disposed over the display panel, and one or more opaque members disposed between the sensor and the window and along an edge of the sensor area.","Samsung Electronics Co., Ltd.",2021-03-09,G06F3/047,US17195892,US20210191542A1,2021-06-24,Songhee JUNG; Yongkoo HER; Sungyoung SHIN; Byungduk YANG; Harksang KIM; Hyunchang SHIN; Joongyu LEE,企业,G06F3/047; G06F3/041; G06F3/0488,,/docs/US/2021-06-24/US20210191542A1/abs.jpg.150x150.jpg
