,id,rank,loc,legalStatus,currentStatus,type,title,applicant,applicationDate,mainIpc,applicationNumber,documentNumber,documentDate,inventor,applicantType,ipc,cpc,imagePath,summary
10,CN306631570S,0,23-03,有效专利,授权,外观设计,暖被机(NPC-E),广东世联电器有限公司,2021-05-28,,CN202130323467.0,CN306631570S,2021-06-22,邓仲雯,企业,,,/CN/2021/3/64/images/202130323467.jpg,"1.本外观设计产品的名称：暖被机(NPC‑E)。
2.本外观设计产品的用途：用于将被子、床单等床上物品进行加热，属于常见家用电器。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
11,CN306631569S,0,23-03,有效专利,授权,外观设计,暖风机(HPF-M),广东世联电器有限公司,2021-05-28,,CN202130323450.5,CN306631569S,2021-06-22,邓仲雯,企业,,,/CN/2021/3/64/images/202130323450.jpg,"1.本外观设计产品的名称：暖风机(HPF‑M)。
2.本外观设计产品的用途：用于制备输出暖风，以调节室内空气温度。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
12,CN306622270S,0,23-04,有效专利,授权,外观设计,加热式加湿器（PH-405-68U）,佛山市顺德区德可电器有限公司,2021-05-26,,CN202130316527.6,CN306622270S,2021-06-18,张绍谆; 石毅,企业,,,/CN/2021/3/63/images/202130316527.jpg,"1.本外观设计产品的名称：加热式加湿器（PH‑405‑68U）。
2.本外观设计产品的用途：本外观设计产品用于空气加湿。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图1。"
13,CN306622269S,0,23-04,有效专利,授权,外观设计,加热式加湿器（PH-405-67U）,佛山市顺德区德可电器有限公司,2021-05-26,,CN202130316517.2,CN306622269S,2021-06-18,张绍谆; 石毅,企业,,,/CN/2021/3/63/images/202130316517.jpg,"1.本外观设计产品的名称：加热式加湿器（PH‑405‑67U）。
2.本外观设计产品的用途：用于增加空气湿度。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
14,CN306623131S,0,26-05,有效专利,授权,外观设计,吊灯（冰凌花）,中山市松伟照明电器有限公司,2021-05-25,,CN202130315659.7,CN306623131S,2021-06-18,谢伟,企业,,,/CN/2021/3/63/images/202130315659.jpg,"1.本外观设计产品的名称：吊灯（冰凌花）。
2.本外观设计产品的用途：室内照明。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。
5.本外观设计产品的俯视图所表达的部位为使用时不容易看到或看不到的部位，省略俯视图。"
15,CN113022962A,0,,公开,公开,发明公开,一种财务管理用票据分类包装机,江西师范大学,2021-05-24,B65B41/16,CN202110562967.9,CN113022962A,2021-06-25,刘梦,学校,B65B41/16; B65B9/02; B65B51/14; B65B61/06; B65B57/00,,/CN/2021/1/112/images/202110562967.jpg,本发明公开了一种财务管理用票据分类包装机，包括支架、立柱、固定盘和移动盘，以及竖向驱动机构，在固定盘与移动盘之间设置有热合装置和剪切装置，在固定盘两侧和移动盘两侧分别安装有新膜输出辊和废膜收纳辊，位于每对新膜输出辊和废膜收纳辊之间的胶膜层，分别经过且被约束于所述固定盘的盘面和移动盘的盘面，本发明对于财务票据等文件能够提供方便的封装需求，在封存包装过程中，由于上下胶膜层已经处于操作区上下位置，只需将相应文件放置于操作区并按下启动按钮即可，操作简单方便。
16,CN306626321S,0,07-02,有效专利,授权,外观设计,双层水壶（1）,广东新宝电器股份有限公司,2021-05-24,,CN202130310590.9,CN306626321S,2021-06-22,郭建刚; 陈龙辉; 钟艳芬,企业,,,/CN/2021/3/62/images/202130310590.jpg,"1.本外观设计产品的名称：双层水壶（1）。
2.本外观设计产品的用途：用于烧煮、盛装饮用水。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：设计1立体图。
5.指定设计1为基本设计。"
17,CN306626320S,0,07-02,有效专利,授权,外观设计,双层水壶（2）,广东新宝电器股份有限公司,2021-05-24,,CN202130310505.9,CN306626320S,2021-06-22,郭建刚; 陈龙辉; 钟艳芬,企业,,,/CN/2021/3/62/images/202130310505.jpg,"1.本外观设计产品的名称：双层水壶（2）。
2.本外观设计产品的用途：用于烧煮、盛装饮用水。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
18,CN306623511S,0,31-00,有效专利,授权,外观设计,咖啡机（CM5418）,佛山市顺德区晟名商贸商行(普通合伙),2021-05-24,,CN202130309488.7,CN306623511S,2021-06-18,陈熙荣,其他,,,/CN/2021/3/61/images/202130309488.jpg,"1.本外观设计产品的名称：咖啡机（CM5418）。
2.本外观设计产品的用途：用于制作咖啡。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：设计1立体图。
5.指定设计1为基本设计。
6.设计1立体图A指示处和设计2立体图A指示处是压力表，能够起到监控冲泡咖啡时的压力和水温。"
19,CN113024010A,0,,公开,公开,发明公开,一种炼钢厂冷却废水处理设备及其自动控制系统,潍坊特钢集团有限公司,2021-05-21,C02F9/12,CN202110554729.3,CN113024010A,2021-06-25,张泽; 姜传辉; 徐培升,企业,C02F9/12; C02F103/16,,/CN/2021/1/110/images/202110554729.jpg,本发明公开了一种炼钢厂冷却废水处理设备及其自动控制系统，冷却废水处理设备包括依次连通设置的除油装置、除铁装置和分离装置，除油装置包括除油箱体，除油箱体内部设有除油腔和搅拌腔，除油腔的上部设有多个以高低起伏方式排列的除油主轴，除油主轴外部套设有两个同轴设置的除油筒体；除铁装置包括除铁箱体，除铁箱体内部安装有传送带和导流板，传送带绕设在除铁主轴和电磁滚筒上；分离装置包括上分离箱和下分离箱；本发明可以将冷却废水中含有的铁性杂质以及润滑油脂有效回收利用，避免造成资源的极大浪费；可以将冷却废水中的杂质有效去除，确保出水水质稳定，可以实现污泥的脱水与回收利用。
20,CN213517988U,0,,有效专利,授权,实用新型,一种自动取样控制系统,长沙恒华电子科技有限公司,2021-05-21,G05B19/05,CN202121091706.5,CN213517988U,2021-06-22,刘四青,企业,G05B19/05,,/CN/2021/2/218/images/202121091706.jpg,本申请公开了一种自动取样控制系统，与现有技术相比，包括：控制模块、感应监测模块、执行模块、人机交互模块；所述感应监测模块、所述执行模块、所述人机交互模块均与所述控制模块连接；所述执行模块包括：用于对管道进行抽真空处理的真空泵装置；用于管道清洗气体输入量调节的清洗气体调节阀；用于调控所述执行模块通断电状态的继电器；所述人机交互模块用于设置控制参数并传输给所述控制模块，所述感应监测模块用于实时监测运行参数并传输给所述控制模块，所述控制模块通过所述执行模块控制对管道的清洗过程。本申请提供的自动取样控制系统，具有自动清洗管道的功能，能避免混入空气对样品精度的干扰，采样精准度高。
21,CN112994002A,0,,公开,公开,发明公开,一种电力可移动负荷识别方法,南京易司拓电力科技股份有限公司,2021-05-20,H02J3/00,CN202110548655.2,CN112994002A,2021-06-18,罗耀强,企业,H02J3/00,,/CN/2021/1/109/images/202110548655.jpg,本发明公开了一种电力可移动负荷识别方法，包括：将获取的数据进行清洗与补齐；清洗后的数据进行归一化处理，构建日期、24小时时间、幅度三维向量矩阵R(M，T，P)；其中M为负荷曲线的天数；T为数据对应的24小时的时间，P代表幅度；对用电设备日负荷曲线三维向量按日进行聚类分析计算，计算得到N个分类；把每个分类的聚类中心作为用电设备的典型特征曲线；将M天中每天实际的负荷曲线与其对应的典型特征曲线作对比；如果存在M天中每天实际的负荷曲线对比其对应的典型特征曲线在曲线上发生突变，则判断该识别对象为可移动负荷；对其他负荷或用电设备的识别。本发明能够实现在非入侵式场景下实时、准确地识别可移动负荷。
22,CN112993796A,0,,公开,公开,发明公开,一种抽出式低压开关柜,东营市南方电器有限责任公司,2021-05-20,H02B1/36,CN202110548638.9,CN112993796A,2021-06-18,宋建光; 陈金杰; 纪雯静,企业,H02B1/36; H02B1/30; H02B1/48; H02B1/56,,/CN/2021/1/109/images/202110548638.jpg,本发明公开了一种抽出式低压开关柜，涉及开关柜技术领域，包括箱体、旋转支架、散热结构；旋转支架转动连接在箱体内开口侧，散热结构固定在箱体内开口侧相对的一面上，旋转支架上设置有若干个抽屉。与现有技术相比，本发明的有益效果是：本发明的特点在于抽屉固定在旋转支架上，而旋转支架转动连接在箱体内，因此对于本开关柜来说，不存在所谓的位于高处的抽屉，当技术人员需要检修查看某个抽屉时，只需要转动旋转支架，将对应的抽屉转动至下方，便可取出，避免了在高处取物时一些失误操作的发生。
23,CN112974256A,0,,公开,公开,发明公开,一种定子铁芯高度自动检测判断筛选装置,四川富生电器有限责任公司,2021-05-20,B07B13/05,CN202110549509.1,CN112974256A,2021-06-18,李强; 陈忠; 张运昌; 许百宏; 张波; 周正; 马建,企业,B07B13/05; B07B13/16; B07B13/14; B07B13/18,,/CN/2021/1/109/images/202110549509.jpg,本发明公开了一种定子铁芯高度自动检测判断筛选装置，包括槽架，所述槽架的两个内侧端面上均穿插活动连接有多个输送滚轮，所述槽架的上端前部和上端后部分别固定连接有超高判定机构和超低判定机构，所述槽架的右端固定连接有超高放置盘和超低放置盘，所述超高放置盘位于超高判定机构和超低判定机构之间，所述超低放置盘位于超低判定机构的后方，所述槽架的左端固定连接有超高推出气缸和超低推出气缸，所述超高推出气缸和超低推出气缸分别与超高放置盘和超低放置盘位置相对应。本发明所述的一种定子铁芯高度自动检测判断筛选装置，可以根据高度需要对定子铁芯进行筛分，实现定子铁芯不同高度的自动分选，分选速度快、效率高。
24,CN213521383U,0,,有效专利,授权,实用新型,一种应急电路存储系统,武汉海奥电气有限公司,2021-05-19,H02J9/00,CN202121072852.3,CN213521383U,2021-06-22,陈耀军; 陈博; 陈冠儒; 宋攀; 刘传辉; 胡波,企业,H02J9/00; H02J7/02; H02J7/34; G08C17/02,,/CN/2021/2/214/images/202121072852.jpg,本实用新型涉及一种应急电路存储系统，该系统包括应急充电电源、超级电容和用于给所述超级电容充电的充电电路，所述超级电容和充电电路连接于应急电路中，所述超级电容并联在所述应急充电电源的两端，所述应急充电电源连接有电压电流检测模块，所述电压电流检测模块连接无线通信模块，所述无线通信模块与远端控制端通过无线网络连接。本实用新型应急电路存储系统能够存储能够根据应急电源的电能状况自动充电，以维持应急电源的电能存储状态达到供电需求。
25,CN213492735U,0,,有效专利,授权,实用新型,一种环保智能喷雾除尘控制系统,长沙恒华电子科技有限公司,2021-05-19,B01D47/08,CN202121072252.7,CN213492735U,2021-06-22,刘四青,企业,B01D47/08,,/CN/2021/2/214/images/202121072252.jpg,本申请公开了一种环保智能喷雾除尘控制系统，与现有技术相比，包括：控制器、继电器装置、触摸显示屏装置、电动控制阀装置、流量计装置、转动装置，触摸显示屏装置用于输入控制参数并反馈给控制器，电动控制阀装置用于调控雾化喷头装置的输出流量大小，继电器装置用于调控电动控制阀装置的通断电状态，流量计装置用于检测雾化喷头装置实时输出流量的大小并反馈给控制器，转动装置用于调节雾化喷头装置的实时喷淋角度，控制器用于调节转动装置的转动角度以及电动控制阀装置的开度。本申请提供的环保智能喷雾除尘控制系统，能自动调节喷淋角度，具有自动调节与手动调节高压喷雾流量大小的功能，除尘效果好，安全性能高。
26,CN213482722U,0,,有效专利,授权,实用新型,一种高空作业平台的电磁环境及温度调节系统,山东华龙农业装备股份有限公司,2021-05-19,G05D23/19,CN202121067075.3,CN213482722U,2021-06-18,孙令涛; 赵佳伟,企业,G05D23/19; H05K9/00,,/CN/2021/2/213/images/202121067075.jpg,本申请公开了一种高空作业平台的电磁环境及温度调节系统，包括控制器单元、温度传感器单元、继电器控制单元和加热单元，控制器单元连接温度传感器单元和继电器控制单元，继电器控制单元连接加热单元。具有以下优点：控制箱及电池箱内部温度维持在一个较高的温度环境，此目的有效解决了高空作业平台在深冷环境下能够正常作业的要求。
27,CN112994222A,0,,公开,公开,发明公开,一种ATS开关控制电路及控制方法,泰豪科技股份有限公司,2021-05-18,H02J9/08,CN202110537318.3,CN112994222A,2021-06-18,万新云; 钟节锋; 刘新根,企业,H02J9/08,,/CN/2021/1/107/images/202110537318.jpg,本发明公开了一种ATS开关控制电路及控制方法，该开关控制电路包括模式开关、分别与所述模式开关连接的第一开关控制子电路、第二开关控制子电路以及第三开关控制子电路，所述第一开关控制子电路包括第一继电器，所述第一继电器包括第一线圈和至少一个第一常闭触点，所述第二开关控制子电路包括第二继电器和并联连接的第一开关、第二开关、以及第三开关，所述第三开关控制子电路包括第三继电器、第四继电器以及第四开关，本发明中的ATS开关控制电路解决了现有技术中，ATS控制供电方式的方法单一的问题。
28,CN112968421A,0,,公开,公开,发明公开,一种强弱电一体化控制设备,杭州罗莱迪思科技股份有限公司,2021-05-18,H02H3/20,CN202110537112.0,CN112968421A,2021-06-15,王忠泉; 陈定坤; 刘金财; 王锋; 沈志明; 占丰平; 张建武,企业,H02H3/20; H02H3/10; H02H9/04; H02H3/04; H02H11/00; H02H1/00; H02J13/00,,/CN/2021/1/107/images/202110537112.jpg,"本发明涉及一种强弱电一体化控制设备，该方案包括信号继电器、电源继电器、MCU控制电路及检测电路；信号继电器输入端与信号线电连接；电源继电器输入端与电源线电连接；信号继电器和电源继电器输出端合并成通信线与负载灯具电连接；MCU控制电路的端口分别与电源继电器以及信号继电器的输出控制端电连接；检测电路与MCU控制电路的端口电连接，本方案可实现将强电电源线和信号线合并于一根通信线，解决了强电对弱电信号的干扰问题,防电源线和信号线误连接保护功能，避免灯具信号线和电源线错误连接导致灯具损坏，降低了工程施工成本和难度。"
29,CN112965918A,0,,公开,公开,发明公开,轨旁设备点对点测试方法、系统、设备及存储介质,卡斯柯信号(北京)有限公司,2021-05-18,G06F11/36,CN202110537142.1,CN112965918A,2021-06-15,胡井海; 蔡微微; 陈耀华; 方堃; 余勇,企业,G06F11/36,,/CN/2021/1/107/images/202110537142.jpg,本申请提供一种轨旁设备点对点测试方法、系统、设备及存储介质。其中，该点对点测试方法包括：在车站联锁/列控逻辑软件开发完成前，替代所述车站联锁/列控逻辑软件与目标控制器通信，向所述目标控制器中的每个电子执行模块发送针对每个所述电子执行模块预先编制的控制命令，以对每个所述电子执行模块及其对应的轨旁设备进行点对点测试，根据每个所述电子执行模块执行所述控制命令后采集的状态信息，确定每个所述电子执行模块及其对应的轨旁设备的点对点测试结果，将所述点对点测试结果记录入测试表格并进行区分性标识。本申请方案可以解决现有车站联锁/列控逻辑的软件编制过程中，无法进行目标控制器与轨旁设备的点对点测试工作的问题。
30,CN112963386A,0,,公开,公开,发明公开,一体式过滤进气系统,眉山市科跃工业自动化设备有限公司; 四川省川机工程技术有限公司,2021-05-18,F04D29/70,CN202110539148.2,CN112963386A,2021-06-15,魏大兵; 陈更荣,企业,F04D29/70; F04D25/08,,/CN/2021/1/107/images/202110539148.jpg,本发明公开了一种一体式过滤进气系统，包括安装在进风口上的进气罩，其特征在于：还包括安装座和安装在所述安装座上的反向吹气机构；所述安装座安装在所述进风口上且所述安装座上设置有与所述进风口连通的通孔；所述进气罩安装在所述安装座上；所述反向吹气机构安装在所述安装座上且位于所述进气罩内，且定时向所述进气罩外侧方向吹气；所述反向吹气机构包括气泵、气瓶、吸气管道和用于吹气的第一吹气管道。本发明公开的一种一体式过滤进气系统在安装在进风口的进气罩内安装反向吹气机构，用于定时反向吹走所述进气罩上的吸附的杂物，避免进气罩堵塞，进而避免进风口进气不畅甚至风机过热而烧坏。
31,CN213484564U,0,,有效专利,授权,实用新型,一种急救车供电系统,首都医科大学附属北京潞河医院,2021-05-18,H02J7/00,CN202121062386.0,CN213484564U,2021-06-18,刘宁,企业,H02J7/00; H02J7/14; H02B1/56,,/CN/2021/2/212/images/202121062386.jpg,本实用新型涉及供电技术领域，公开了一种急救车供电系统，包括:储电组件以及供电组件，储电组件包括箱体、箱盖以及蓄电池，箱体的上部为开口结构，箱盖固定安装在箱体的上部，供电组件包括支撑杆、方形盒体、第一变压器、第二变压器、电源插孔以及USB接口，支撑杆竖直且固定地安装在箱盖的上部，方形盒体通过导电滑环转动安装在支撑杆的上端，第一变压器和第二变压器均固定安装在方形盒体的内部。本实用新型的急救车供电系统，可以同时输出两种电压，能够满足不同额定电压工作的医疗设备的使用要求，便于切换电源插孔以及USB接口的朝向，能够满足实际使用要求，可以满足带有电源插头和USB插头的医疗设备同时使用。
32,CN112994346A,0,,公开,公开,发明公开,一种致动器,常州市凯迪电器股份有限公司,2021-05-17,H02K7/116,CN202110532034.5,CN112994346A,2021-06-18,朋兴谱; 冯相如; 陈垚为; 王克敏,企业,H02K7/116; H02K7/08; H02K7/06; F16H37/12,,/CN/2021/1/106/images/202110532034.jpg,本发明涉及传动装置技术领域，特别涉及一种致动器。具有电机组件、减速齿轮组件、安装座、伸缩组件和后端关节轴承组件；所述电机组件输出轴头部的直齿和减速齿轮组件啮合设置于安装座上，所述减速齿轮组件和伸缩组件末端的直齿轮啮合，所述伸缩组件安装于安装座上，所述后端关节轴承组件固定在安装座上端。本发明提高了致动器的整体性，直接在箱体上成型与机壳配合的定位结构。去除了单独在电机组件上使用的前端盖及前端盖密封结构。减少了零件的使用数量及简化了装配工艺，可大大降低生产成本。采用滚珠直径、数量可调的滚动组件，不仅能够有效控制致动器载荷容量，而且在满足使用要求的前提下优化装配结构，降低生产成本。
33,CN112988717A,0,,公开,公开,发明公开,一种居民智慧用能服务标本库设计与构建方法,国网江西省电力有限公司供电服务管理中心; 中国电力科学研究院有限公司; 国家电网有限公司,2021-05-17,G06F16/21,CN202110531325.2,CN112988717A,2021-06-18,樊友杰; 江峰; 刘铠诚; 何桂雄; 刘明; 刘强; 舒骁骁; 卢婕; 李昊翔; 刘向向; 李德智; 闫华光; 钟鸣; 王松岑; 张新鹤,企业,G06F16/21; G06F16/215; G06Q50/06,,/CN/2021/1/106/images/202110531325.jpg,本发明公开了一种居民智慧用能服务标本库设计与构建方法，所述方法包括以下步骤：1）明确居民智慧用能服务标本库数据来源；2）设计居民智慧用能服务标本库数据结构；3）内外部数据收集与清洗；4）构建居民智慧用能服务标本库。本发明建立涵盖城乡居民客户生活习惯、家庭人员结构、智慧用能消费、公益参与度等多种差异化因素的居民智慧用能服务标本库，可用于居民客户用能方式及特征分析，为智慧用能服务的规模化应用提供数据支撑。有助于探索居民客户智慧用能服务市场化运作模式及配套政策建议，提升居民需求响应参与度、实现电网尖峰负荷的削减、提高综合能源服务品质。
34,CN213517515U,0,,有效专利,授权,实用新型,多物理因素耦合作用电工钢片矢量磁特性自动测量系统,沈阳工业大学,2021-05-17,G01R33/12,CN202121039768.1,CN213517515U,2021-06-22,林祖峰; 刘闯; 刘龙; 张京瑶; 钟啟明; 张殿海,学校,G01R33/12; G05D27/02,,/CN/2021/2/207/images/202121039768.jpg,本实用新型涉及一种多物理因素耦合作用电工钢片矢量磁特性自动测量系统，多物理因素耦合作用电工钢片矢量磁特性自动测量系统包括上位机、数据采集卡、低通滤波器、功率放大器、隔离放大器、励磁装置、矢量B‑H传感器、x方向励磁线圈、y方向励磁线圈、单片机系统、电源、温度自动加载模块和应力自动加载模块。本实用新型实现了电工钢片复杂磁特性测量过程中温度和应力的自动加载，解决了人为操作繁琐，耗时的缺点，使得电工钢片复杂磁特性的测量过程更加方便，高效，可行性更高。
35,CN306623509S,0,31-00,有效专利,授权,外观设计,多功能料理机（SM6001）,广东昌盛电器有限公司,2021-05-14,,CN202130287326.8,CN306623509S,2021-06-18,何永泉; 陈国华,企业,,,/CN/2021/3/57/images/202130287326.jpg,"1.本外观设计产品的名称：多功能料理机（SM6001）。
2.本外观设计产品的用途：本外设计产品用于料理食物。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
36,CN306623508S,0,31-00,有效专利,授权,外观设计,多功能料理机（SM6006）,广东昌盛电器有限公司,2021-05-14,,CN202130287322.X,CN306623508S,2021-06-18,何永泉; 陈国华,企业,,,/CN/2021/3/57/images/202130287322.jpg,"1.本外观设计产品的名称：多功能料理机（SM6006）。
2.本外观设计产品的用途：本外观设计产品用于料理食物。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
37,CN113048519A,0,,公开,公开,发明公开,具有红外测温装置的燃气灶具,浙江久康电器有限公司,2021-05-13,F24C3/12,CN202110522944.5,CN113048519A,2021-06-29,徐介东; 沈春雷; 吴成年,企业,F24C3/12; F24C3/00; F23D14/46,,/CN/2021/1/104/images/202110522944.jpg,本发明提供的一种具有红外测温装置的燃气灶具，由红外测温装置与燃气灶具构成，在燃烧器中心部位设有红外测温通道，在中心火盖顶部凸台上设置红外测温防污窗，可以完全避免水及脏物直接掉落到红外测温探头上，显著减少火焰对测温的影响，透过红外测温防污窗的耐高温透明防污片，可以直接检测锅底温度；通过红外测温装置的温度控制模块，可以控制燃气灶上电磁阀打开与关闭，实现防油燃烧、防干烧功能；还可将温度控制信号传给燃气灶上的电控装置，通过电控装置控制燃气比例阀、带电磁阀的燃气阀或带步进电机的燃气阀，实现使用温度及火力大小的智能调控。本发明结构简单紧凑，成本低，可靠性高，易清洁，且燃气灶具的外观得到显著提升。
38,CN306623507S,0,31-00,有效专利,授权,外观设计,料理机(搅拌DG-BL07),小熊电器股份有限公司,2021-05-13,,CN202130284450.9,CN306623507S,2021-06-18,李一峰,企业,,,/CN/2021/3/56/images/202130284450.jpg,"1.本外观设计产品的名称：料理机(搅拌DG‑BL07)。
2.本外观设计产品的用途：用于打碎、搅拌等食物加工。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
39,CN306623506S,0,31-00,有效专利,授权,外观设计,料理机(养生DG-BL07),小熊电器股份有限公司,2021-05-13,,CN202130284449.6,CN306623506S,2021-06-18,李一峰,企业,,,/CN/2021/3/56/images/202130284449.jpg,"1.本外观设计产品的名称：料理机(养生DG‑BL07)。
2.本外观设计产品的用途：用于打碎、搅拌等食物加工。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。
5.立体图的部件A是透明材质。"
40,CN306618306S,0,07-02,有效专利,授权,外观设计,电炖锅(DDG-D30L3),小熊电器股份有限公司,2021-05-13,,CN202130284479.7,CN306618306S,2021-06-18,李一峰,企业,,,/CN/2021/3/56/images/202130284479.jpg,"1.本外观设计产品的名称：电炖锅(DDG‑D30L3)。
2.本外观设计产品的用途：用于炖煮食物烹饪。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
41,CN306618305S,0,07-02,有效专利,授权,外观设计,电煎锅(DHG-C30L1),小熊电器股份有限公司,2021-05-13,,CN202130284478.2,CN306618305S,2021-06-18,李一峰,企业,,,/CN/2021/3/56/images/202130284478.jpg,"1.本外观设计产品的名称：电煎锅(DHG‑C30L1)。
2.本外观设计产品的用途：用于烹饪食物的电热锅具。
3.本外观设计产品的设计要点：在于形状。
4.最能表明设计要点的图片或照片：立体图。"
